Player,Team,JumperNumber,Age,Age_Decimal,Height,Position,DebutYear,Matches_Career,Goals_Total_Career,Matches_Finals,Goals_Total_Finals,Matches_Current,Goals_Total_Current,RatingPoints_Career,Supercoach_Career,Disposals_Career,ContestedPossessions_Career,Goals_Career,RatingPoints_Recent,Supercoach_Recent,Disposals_Recent,ContestedPossessions_Recent,Goals_Recent
Dante Visentini,Port Adelaide,38,23,23.87,202,Ruck,2023,14,2,0,,0,,5.9,52.714,8.071,4.714,0.143,5.9,52.714,8.071,4.714,0.143
Darcy Byrne-Jones,Port Adelaide,33,31,31.27,181,Gen. Forward,2016,221,72,10,3,0,,8.287,72.448,16.575,5.611,0.326,7.465,65.55,12.65,4.6,0.85
Esava Ratugolea,Port Adelaide,27,28,28.43,197,Key Defender,2018,111,42,8,4,0,,6.822,59.216,8.946,5.252,0.378,7.345,62.7,9.8,5,0.05
Ewan Mackinlay,Port Adelaide,31,23,23.45,182,Midfielder,2025,1,1,0,,0,,7.4,80,15,3,1,7.4,80,15,3,1
Harrison Ramm,Port Adelaide,32,20,20.07,202,Key Defender,2025,1,0,0,,0,,3.6,28,5,0,0,3.6,28,5,0,0
Ivan Soldo,Port Adelaide,13,30,30.71,204,Ruck,2017,66,28,3,1,0,,8.38,69.318,8.364,4.682,0.424,9.495,77,9.4,5.35,0.6
Jack Lukosius,Port Adelaide,12,26,26.39,195,Key Forward,2019,123,87,0,,0,,8.261,69,14.301,4.024,0.707,7.4,59.3,10.3,3.75,1.35
Jack Watkins,Port Adelaide,37,26,26.03,176,Midfielder,,0,,,,0,,,,,,,,,,,
Jack Whitlock,Port Adelaide,17,20,20.62,200,Key Forward,2025,4,4,0,,0,,4.05,41,6.5,2,1,4.05,41,6.5,2,1
Jackson Mead,Port Adelaide,3,25,25.25,184,Midfielder,2022,64,12,3,0,0,,6.6,51.703,12.422,4.047,0.188,6.725,52.4,13.2,3.85,0.15
Jacob Moss,Port Adelaide,42,22,22.02,198,Key Defender,,0,,,,0,,,,,,,,,,,
Jacob Wehr,Port Adelaide,15,28,28.49,185,Midfielder,2022,39,7,0,,0,,6.113,55.154,12.462,4.179,0.179,5.585,56.45,13.1,4.5,0.15
Jase Burgoyne,Port Adelaide,7,23,23.46,186,Midfielder,2022,56,10,3,3,0,,7.805,71.214,16.821,5.625,0.179,8.105,74.2,19.2,6.05,0.15
Jason Horne-Francis,Port Adelaide,18,23,23.52,185,Midfielder,2022,80,61,5,3,0,,10.369,83.812,19.225,9.2,0.762,11.375,93.3,20.8,9.1,1
Joe Berry,Port Adelaide,5,20,20.7,180,Gen. Forward,2025,12,3,0,,0,,3.367,39.5,9,2.833,0.25,3.367,39.5,9,2.833,0.25
Joe Richards,Port Adelaide,35,27,27.1,177,Gen. Forward,2024,31,21,0,,0,,7.906,66.194,14.129,4.742,0.677,7.78,70.25,14.75,5.2,0.7
Jordon Sweet,Port Adelaide,24,28,28.9,206,Ruck,2021,47,10,3,0,0,,8.968,82.745,10.021,5.745,0.213,9.36,87,11.2,6.8,0.2
Josh Lai,Port Adelaide,43,21,21.24,185,Gen. Defender,,0,,,,0,,,,,,,,,,,
Josh Sinn,Port Adelaide,8,23,23.98,187,Gen. Defender,2022,30,1,2,0,0,,4.547,46.467,11.033,2.667,0.033,5.015,49.5,11.45,2.65,0
Kane Farrell,Port Adelaide,6,27,27.79,182,Gen. Defender,2018,114,49,2,0,0,,8.399,71.737,15.649,3.763,0.43,8.415,87.35,20.15,3.7,0.15
Lachie Jones,Port Adelaide,34,24,24.72,186,Gen. Defender,2021,74,7,5,0,0,,7.151,53.419,10.838,4.622,0.095,7.955,56.3,10.85,4.9,0.05
Logan Evans,Port Adelaide,22,21,21.23,190,Gen. Defender,2024,23,3,3,0,0,,6.978,63.087,14.478,3.609,0.13,6.96,62.25,14.3,3.7,0.1
Mani Liddy,Port Adelaide,50,24,24.86,184,Midfielder,2025,9,1,0,,0,,3.856,51.111,14.111,3.444,0.111,3.856,51.111,14.111,3.444,0.111
Miles Bergman,Port Adelaide,14,25,25.2,190,Gen. Defender,2021,102,26,7,0,0,,7.798,69.824,15.343,5.314,0.255,9.235,81.25,17.65,5.95,0.3
Mitch Georgiades,Port Adelaide,19,25,25.25,192,Key Forward,2020,92,167,3,5,0,,6.015,64.402,10.793,4.424,1.815,6.67,73.3,12.05,4.9,2.6
Mitch Zadow,Port Adelaide,39,22,22.8,180,Gen. Forward,,0,,,,0,,,,,,,,,,,
Ollie Lord,Port Adelaide,30,24,24.99,197,Key Forward,2023,34,33,2,5,0,,4.159,45.588,6.471,3.735,0.971,4.18,43.6,6.05,3.45,0.9
Ollie Wines,Port Adelaide,16,32,32.23,187,Midfielder,2013,273,103,15,10,0,,11.693,96.165,25.062,11.784,0.377,8.72,92.8,25.4,11.6,0.15
Sam Powell-Pepper,Port Adelaide,2,28,28.97,187,Gen. Forward,2017,158,124,7,5,0,,8.296,70.07,15.861,6.956,0.785,6.985,64.3,13.55,4.65,1.05
Todd Marshall,Port Adelaide,4,28,28.23,198,Key Forward,2017,116,159,8,8,0,,7.447,62.716,9.474,3.957,1.371,5.495,53.8,9,2.95,1.15
Tom Anastasopoulos,Port Adelaide,29,21,21.58,176,Midfielder,,0,,,,0,,,,,,,,,,,
Tom Cochrane,Port Adelaide,26,20,20.92,183,Gen. Forward,2025,3,2,0,,0,,3.933,34,6.667,2.333,0.667,3.933,34,6.667,2.333,0.667
Will Brodie,Port Adelaide,23,28,28.35,190,Midfielder,2017,54,10,2,0,0,,9.407,79.667,22.037,9.852,0.185,11.65,91.95,25.1,11.1,0.3
Will Lorenz,Port Adelaide,36,21,21.86,186,Midfielder,2024,8,2,1,0,0,,5.475,49.25,9.5,4,0.25,5.475,49.25,9.5,4,0.25
Willem Drew,Port Adelaide,28,28,28.24,188,Midfielder,2019,130,21,7,1,0,,10.863,83.946,17.923,8.408,0.162,10.1,81.45,18.25,8.4,0.1
Xavier Walsh,Port Adelaide,45,21,21.31,195,Key Defender,,0,,,,0,,,,,,,,,,,
Zak Butters,Port Adelaide,9,26,26.31,181,Midfielder,2019,139,68,9,1,0,,13.049,98.129,22.561,8.993,0.489,15.92,121,27.95,12.45,0.05
Ben Miller,Richmond,12,27,27.33,198,Key Defender,2021,70,9,1,0,1,0,8.776,67.329,10.771,3.557,0.129,8.165,69.45,12.45,3.45,0
Campbell Gray,Richmond,50,23,23.97,195,Key Defender,2025,4,0,0,,1,0,6.975,49.75,7.75,2.5,0,6.975,49.75,7.75,2.5,0
Dion Prestia,Richmond,3,34,34.21,175,Midfielder,2011,237,77,13,8,0,,12.254,88.962,23.637,9.578,0.325,11.565,84.25,23.2,8.6,0.3
Harry Armstrong,Richmond,34,20,20.54,195,Key Forward,2025,9,6,0,,1,0,3.2,31.333,6.556,3.222,0.667,3.2,31.333,6.556,3.222,0.667
Hugo Ralphsmith,Richmond,13,25,25.14,187,Midfielder,2021,63,21,0,,1,0,6.395,51.841,12.651,3.825,0.333,7.49,59.1,13.25,4.3,0.5
Jack Ross,Richmond,5,26,26.32,187,Mid-Forward,2019,94,19,1,1,1,0,8.671,66.319,16.574,5.67,0.202,9.6,79.9,19.2,7.05,0.1
Jacob Hopper,Richmond,2,29,29.89,187,Midfielder,2016,166,58,13,2,1,0,9.617,84.181,22.608,10.518,0.349,9.86,88.35,26.1,11.6,0.25
James Trezise,Richmond,36,24,24.54,188,Midfielder,2023,25,3,0,,1,0,6.608,56.2,13.28,4.16,0.12,6.515,55.1,13.2,4.05,0.15
Jasper Alger,Richmond,29,20,20.03,183,Gen. Forward,2025,4,2,0,,0,,2.75,23.25,5,2,0.5,2.75,23.25,5,2,0.5
Jayden Short,Richmond,15,30,30.93,178,Gen. Defender,2016,191,39,10,0,1,1,8.883,84.764,20.445,4.073,0.204,8.965,88.4,22.5,3.35,0.2
Jonty Faull,Richmond,8,20,20.91,195,Key Forward,2025,17,9,0,,1,0,2.582,40.471,7.412,3.765,0.529,2.582,40.471,7.412,3.765,0.529
Josh Gibcus,Richmond,18,23,23.74,196,Key Defender,2022,22,3,1,0,1,0,6.964,52.727,8.682,3.591,0.136,6.92,52.8,8.55,3.7,0.15
Josh Smillie,Richmond,16,20,20.62,195,Midfielder,,0,,,,0,,,,,,,,,,,
Judson Clarke,Richmond,23,23,23.2,180,Gen. Defender,2022,17,14,0,,0,,5.829,41.471,8.471,3.471,0.824,5.829,41.471,8.471,3.471,0.824
Kaleb Smith,Richmond,49,22,22.11,181,Gen. Defender,2024,12,1,0,,0,,3.758,35,9.583,3.083,0.083,3.758,35,9.583,3.083,0.083
Kane McAuliffe,Richmond,28,21,21.83,187,Midfielder,2024,15,0,0,,1,0,6.24,57.867,14.067,5.933,0,6.24,57.867,14.067,5.933,0
Liam Fawcett,Richmond,43,21,21.69,197,Key Forward,2025,1,1,0,,0,,10.8,30,5,1,1,10.8,30,5,1,1
Luke Trainor,Richmond,11,20,20.72,195,Gen. Defender,2025,21,1,0,,0,,4.157,52.667,13.952,3.762,0.048,4.125,52.8,13.9,3.7,0.05
Maurice Rioli,Richmond,17,24,24.33,179,Gen. Forward,2021,50,31,1,1,1,0,5.582,44.7,7.88,3.56,0.62,6.475,49.75,8.65,4.4,0.6
Mykelti Lefau,Richmond,42,28,28.52,195,Key Forward,2024,11,14,0,,0,,5.3,50.091,6.727,3.273,1.273,5.3,50.091,6.727,3.273,1.273
Nathan Broad,Richmond,35,33,33.71,192,Gen. Defender,2016,171,4,12,0,1,0,7.563,66.825,13.93,3.731,0.023,8.125,70,14.35,3.25,0
Nick Vlastuin,Richmond,1,32,32.7,187,Gen. Defender,2013,255,29,16,1,0,,10.218,83.8,17.31,5.608,0.114,10.705,90.1,19.3,6.1,0
Noah Balta,Richmond,21,27,27.18,194,Key Defender,2019,118,41,5,0,1,0,8.585,64.042,12.195,5,0.347,7.785,59.15,11.75,4.85,0.3
Noah Roberts-Thomson,Richmond,27,19,19.75,182,Midfielder,,0,,,,0,,,,,,,,,,,
Oliver Hayes-Brown,Richmond,47,26,26.67,208,Ruck,,0,,,,0,,,,,,,,,,,
Patrick Retschko,Richmond,33,20,20.83,186,Midfielder,,0,,,,0,,,,,,,,,,,
Rhyan Mansell,Richmond,7,26,26.57,180,Gen. Forward,2021,74,52,0,,1,2,6.785,52.919,10.243,3.716,0.703,7.055,58.8,11.35,4.2,0.95
Sam Banks,Richmond,6,23,23.74,187,Gen. Defender,2023,44,6,0,,1,0,6.82,65.818,17.045,3.568,0.136,7.69,84.75,22.35,3.5,0.1
Sam Cumming,Richmond,22,19,19.43,184,Midfielder,,0,,,,0,,,,,,,,,,,
Sam Grlj,Richmond,24,19,19.43,182,Midfielder,2026,1,0,0,,1,0,9.9,73,19,5,0,9.9,73,19,5,0
Sam Lalor,Richmond,4,20,20.33,188,Gen. Forward,2025,12,13,0,,1,2,9.233,56.833,12.333,5.917,1.083,9.233,56.833,12.333,5.917,1.083
Samson Ryan,Richmond,32,26,26.06,206,Ruck,2021,25,15,0,,0,,5.568,47.48,6.64,3.28,0.6,5.43,49.45,7.15,3.25,0.5
Seth Campbell,Richmond,44,22,22,182,Gen. Forward,2024,44,38,0,,1,0,8.339,58.091,12.25,4.682,0.864,9.73,63.6,13.4,5.1,1.05
Steely Green,Richmond,48,22,22.97,179,Gen. Forward,2024,26,18,0,,1,2,5.654,39.692,7.846,2.846,0.692,5.505,40.3,7.6,2.9,0.65
Taj Hotton,Richmond,10,20,20.53,183,Gen. Forward,2025,7,3,0,,0,,8.271,54.714,12.714,6.571,0.429,8.271,54.714,12.714,6.571,0.429
Thomas Burton,Richmond,45,19,19.97,178,Midfielder,,0,,,,0,,,,,,,,,,,
Tim Taranto,Richmond,14,28,28.92,188,Midfielder,2017,174,88,10,3,1,0,10.652,94.149,24.569,10.345,0.506,12.795,101.7,26,12.1,0.75
Toby Nankervis,Richmond,25,32,32.38,199,Ruck,2015,180,45,14,0,1,0,11.955,93.694,15.311,8.617,0.25,12.705,97.4,15.75,8.4,0.2
Tom Brown,Richmond,30,23,23.42,193,Gen. Defender,2023,42,10,0,,0,,7.583,60.714,13.405,4.214,0.238,7.54,62.1,14.2,3.85,0.2
Tom Lynch,Richmond,19,34,34.16,199,Key Forward,2011,237,490,7,16,1,2,9.912,76.477,12.633,6.692,2.068,6.035,55.15,9.7,5.45,1.6
Tom Sims,Richmond,38,20,20.63,199,Key Forward,2025,11,4,0,,0,,3.736,39.091,6.818,4.091,0.364,3.736,39.091,6.818,4.091,0.364
Tyler Sonsie,Richmond,40,23,23.92,181,Mid-Forward,2022,40,10,1,1,0,,5.188,47.775,14.125,4.425,0.25,4.24,45.3,14.2,4.05,0.2
Zane Peucker,Richmond,26,19,19.07,178,Gen. Forward,,0,,,,0,,,,,,,,,,,
Alex Dodson,St Kilda,30,20,20.54,203,Key Forward,2025,1,0,0,,0,,-1,13,8,0,0,-1,13,8,0,0
Alix Tauru,St Kilda,26,20,20.12,193,Key Defender,2025,11,1,0,,1,0,5.082,48.909,8.727,3.545,0.091,5.082,48.909,8.727,3.545,0.091
Angus Hastie,St Kilda,24,21,21.28,190,Gen. Defender,2024,14,1,0,,0,,3.014,30.357,7.571,1.929,0.071,3.014,30.357,7.571,1.929,0.071
Anthony Caminiti,St Kilda,47,23,23.06,196,Key Defender,2023,57,38,1,0,1,0,6.602,57.351,10.053,4.667,0.667,7.425,63.25,11.15,4.75,0.2
Bradley Hill,St Kilda,8,33,33.47,182,Midfielder,2012,278,110,15,12,1,1,8.863,72.216,19.755,3.971,0.396,8.49,75.25,20.7,3.75,0.25
Callum Wilkie,St Kilda,44,30,30.81,191,Key Defender,2019,156,1,3,0,1,0,9.283,83,16.59,4.801,0.006,11.28,94.5,19.35,5,0
Charlie Banfield,St Kilda,36,19,19.45,191,Mid-Forward,,0,,,,0,,,,,,,,,,,
Cooper Sharman,St Kilda,43,26,26.43,193,Key Forward,2021,71,82,1,2,1,2,7.73,57.563,9.859,4.352,1.155,8.895,67.85,11.4,4.45,1.65
Dan Butler,St Kilda,16,30,30.57,182,Gen. Forward,2017,151,172,6,6,0,,8.329,56.159,10.411,3.868,1.139,4.59,39.8,8,3.05,0.95
Darcy Wilson,St Kilda,22,21,21.36,185,Gen. Forward,2024,42,30,0,,1,0,7.119,63.476,15.571,4.714,0.714,6.89,62.75,16.15,4.55,0.75
Dougal Howard,St Kilda,20,30,30.76,199,Key Defender,2016,138,15,3,0,0,,8.75,68.819,12,3.812,0.109,6.19,58.9,11,3.15,0
Eamonn Armstrong,St Kilda,46,20,20.43,191,Gen. Defender,,0,,,,0,,,,,,,,,,,
Hugh Boxshall,St Kilda,38,20,20.47,188,Midfielder,2025,12,2,0,,1,0,6.208,56.167,12.167,5.833,0.167,6.208,56.167,12.167,5.833,0.167
Hugo Garcia,St Kilda,34,21,21.61,185,Midfielder,2024,27,5,0,,1,0,6.878,57.704,13.074,5.815,0.185,7.66,63.65,14.95,6.25,0.2
Hunter Clark,St Kilda,11,27,27.76,186,Midfielder,2018,111,14,3,0,0,,7.356,68.126,17.658,6.441,0.126,8.02,66.2,17.5,7.55,0.05
Isaac Keeler,St Kilda,17,22,22.69,198,Key Forward,2025,11,10,0,,0,,4.973,40.273,7.364,2.909,0.909,4.973,40.273,7.364,2.909,0.909
Jack Carroll,St Kilda,18,24,24.03,188,Gen. Defender,2022,25,5,0,,1,0,5.308,39.92,10.08,3.36,0.2,5.78,38.15,9.3,3.25,0.2
Jack Higgins,St Kilda,1,27,27.78,178,Gen. Forward,2018,146,205,3,4,1,1,8.909,68.466,13.438,5.767,1.404,8.065,56.75,9.2,4.4,1.75
Jack Macrae,St Kilda,6,32,32.41,192,Midfielder,2013,271,60,13,2,1,0,12.508,105.458,27.472,10.653,0.221,11.87,94.15,23.05,12,0.05
Jack Silvagni,St Kilda,3,29,29.03,194,Key Defender,2016,129,89,0,,1,0,7.364,62.372,12.419,4.698,0.69,9.73,75.65,13.85,5.5,0.4
Jack Sinclair,St Kilda,35,31,31.88,181,Gen. Defender,2015,211,69,3,0,1,0,12.602,90.256,21.758,7.109,0.327,14.28,110.05,27.15,6.1,0.3
James Barrat,St Kilda,28,20,20.1,194,Key Defender,,0,,,,0,,,,,,,,,,,
Kobe McDonald,St Kilda,42,19,19.06,193,Gen. Defender,,0,,,,0,,,,,,,,,,,
Kye Fincher,St Kilda,37,19,19.11,185,Midfielder,,0,,,,0,,,,,,,,,,,
Lance Collard,St Kilda,4,21,21.76,185,Gen. Forward,2024,15,8,0,,0,,3.547,26,4.8,2.267,0.533,3.547,26,4.8,2.267,0.533
Liam Henry,St Kilda,23,25,25.34,180,Gen. Forward,2020,61,22,0,,0,,6.725,51.705,12.738,4.377,0.361,8.295,54.85,12.8,4.75,0.45
Liam O'Connell,St Kilda,45,23,23.82,189,Gen. Defender,2025,7,0,0,,0,,4.114,35.714,6.143,2.714,0,4.114,35.714,6.143,2.714,0
Liam Ryan,St Kilda,31,30,30.24,181,Gen. Forward,2018,126,159,6,8,1,1,8.978,62.77,11.341,4.96,1.262,7.445,58.75,10.9,4.8,1
Liam Stocker,St Kilda,14,26,26.93,184,Gen. Defender,2019,84,2,1,0,0,,5.419,56.964,13.643,4.345,0.024,4.49,53.65,11.2,4.25,0
Marcus Windhager,St Kilda,2,23,23.62,185,Gen. Defender,2022,76,10,1,0,1,0,6.182,65.566,17.434,6.079,0.132,8.72,85.2,22.8,6.6,0.1
Mason Wood,St Kilda,32,33,33.29,192,Midfielder,2014,157,149,1,0,1,0,8.573,71.242,15.344,5.643,0.949,7.18,69.75,14,4.8,0.9
Mattaes Phillipou,St Kilda,25,22,22.01,190,Midfielder,2023,45,25,1,0,1,0,6.704,50.422,12.644,5.244,0.556,5.915,50.35,12.65,4.95,0.55
Max Hall,St Kilda,40,24,24.71,183,Gen. Forward,2025,24,24,0,,1,1,11.242,75.25,15.333,5.833,1,12.285,77.9,15.65,6.35,0.95
Max King,St Kilda,12,26,26.48,202,Key Forward,2020,83,159,3,5,0,,7.582,62.518,9.53,5.542,1.916,6.575,55.85,9.85,4.95,1.8
Mitch Owens,St Kilda,10,23,23.26,191,Key Forward,2022,73,76,1,1,1,2,8.73,68.178,13.151,7.233,1.041,8.515,66.3,12.85,7,1.35
Nasiah Wanganeen-Milera,St Kilda,7,23,23.85,187,Midfielder,2022,87,24,1,1,1,1,10.87,90.264,23.747,5.322,0.276,16.345,113.3,29.85,7.7,0.8
Paddy Dow,St Kilda,15,27,27.2,184,Midfielder,2018,83,24,0,,0,,7.617,54.205,14.205,6.663,0.289,8.56,57.85,16.05,6.95,0.25
Patrick Said,St Kilda,33,20,20.68,180,Gen. Forward,,0,,,,0,,,,,,,,,,,
Rowan Marshall,St Kilda,19,31,31.1,201,Ruck,2017,157,78,3,1,1,0,12.638,102.076,17.439,9.618,0.497,11.985,104.5,17.8,8.85,0.45
Ryan Byrnes,St Kilda,13,25,25.66,181,Gen. Defender,2020,80,15,0,,0,,5.811,55.188,15.062,4.312,0.188,6.39,63.9,16.75,4.45,0.2
Sam Flanders,St Kilda,9,25,25.43,183,Midfielder,2020,90,37,2,1,1,0,9.41,77.978,19.933,6.533,0.411,8.99,72.2,18.65,5.8,0.4
Tobie Travaglia,St Kilda,5,20,20.18,188,Gen. Defender,2025,12,2,0,,0,,3.892,39.667,9.25,2.833,0.167,3.892,39.667,9.25,2.833,0.167
Tom De Koning,St Kilda,21,27,27.46,201,Ruck,2018,101,36,4,2,1,0,10.321,80.347,13.079,7.941,0.356,10.605,92.1,16.3,8.5,0.3
Angus Sheldrick,Sydney,12,23,23.14,178,Midfielder,2022,30,10,0,,1,1,8.207,60.867,15.3,6.9,0.333,9.625,66.55,16.75,7.8,0.35
Billy Cootee,Sydney,25,24,24.03,178,Midfielder,,0,,,,0,,,,,,,,,,,
Braeden Campbell,Sydney,16,24,24.9,181,Gen. Forward,2021,94,32,7,1,0,,6.264,55.181,12.085,3.894,0.34,7.09,58.8,12.35,3.7,0.7
Brodie Grundy,Sydney,4,32,32.71,202,Ruck,2013,243,80,12,2,1,1,12.958,106.728,17.428,10.309,0.329,15.73,130.4,20.3,13.05,0.4
Caiden Cleary,Sydney,33,21,21.82,182,Gen. Forward,2024,17,3,0,,0,,4.059,40.235,9.706,3.824,0.176,4.059,40.235,9.706,3.824,0.176
Callum Mills,Sydney,14,29,29.74,188,Gen. Defender,2016,175,30,9,3,1,0,10.253,90.617,20.64,6.726,0.171,10.11,89,21.6,5.35,0.2
Chad Warner,Sydney,1,25,25.61,185,Gen. Forward,2020,109,99,8,6,1,1,13.865,93.303,22.128,9.183,0.908,13.935,93.4,22.65,10.25,0.7
Charlie Curnow,Sydney,35,29,29.9,194,Key Forward,2016,150,316,3,3,1,3,10.853,78.167,12.76,6.22,2.107,8.405,66.85,11.2,4.8,1.8
Corey Warner,Sydney,37,23,23.23,182,Mid-Forward,2023,23,10,0,,0,,4.974,40.217,9.957,3,0.435,5.475,43.15,10.85,3.35,0.45
Dane Rampe,Sydney,24,36,36.58,187,Gen. Defender,2013,273,9,23,1,1,0,8.849,75.044,15.853,4.319,0.033,5.995,61.65,13.15,3,0
Errol Gulden,Sydney,21,24,24.45,175,Mid-Forward,2021,104,75,8,2,1,0,12.701,97.058,23.106,7.913,0.721,12.46,102.1,25.45,8.5,0.55
Harry Cunningham,Sydney,7,33,33.06,181,Gen. Defender,2012,219,52,15,4,0,,6.732,63.735,14.333,3.877,0.237,4.86,59,13.2,2.95,0
Harry Kyle,Sydney,32,19,19.46,188,Gen. Defender,,0,,,,0,,,,,,,,,,,
Hayden McLean,Sydney,2,27,27.94,197,Key Forward,2019,98,100,6,3,0,,7.315,64.786,10.184,4.939,1.02,5.72,59.75,9.2,4.4,1.25
Isaac Heeney,Sydney,5,30,30.65,185,Midfielder,2015,225,300,17,18,1,2,12.965,93.929,18.782,8.862,1.333,17.4,111.6,23.9,11.7,1.85
Jai Serong,Sydney,13,23,23.87,193,Midfielder,2022,11,1,1,0,1,0,4.436,41.273,8.636,3.182,0.091,4.436,41.273,8.636,3.182,0.091
Jake Lloyd,Sydney,44,33,33.27,182,Mid-Forward,2014,272,49,20,5,1,0,9.15,91.206,23.68,5.077,0.18,6.815,79.2,19.8,4.45,0.3
James Jordon,Sydney,17,26,26.03,187,Mid-Forward,2021,115,36,7,0,1,0,7.163,62.67,15.435,5.139,0.313,6.78,61.35,13.55,5.55,0.5
James Rowbottom,Sydney,8,26,26.28,186,Midfielder,2019,141,45,8,4,1,1,10.732,81.369,16.887,8.688,0.319,9.685,81.15,16,8.15,0.45
Jesse Dattoli,Sydney,9,20,20.4,180,Gen. Forward,2025,3,0,0,,0,,0.767,36,9,3.667,0,0.767,36,9,3.667,0
Jevan Phillipou,Sydney,18,19,19.75,184,Midfielder,,0,,,,0,,,,,,,,,,,
Joel Amartey,Sydney,36,27,27.32,195,Key Forward,2020,62,89,4,5,1,3,5.64,55.065,7.887,4.21,1.435,4.635,55.6,8.7,4.2,1.4
Joel Hamling,Sydney,29,33,33.72,194,Key Defender,2015,105,3,5,0,0,,7.426,60.019,10.981,3.962,0.029,5.295,51.2,8.55,3.3,0.15
Justin McInerney,Sydney,27,26,26.36,189,Mid-Forward,2019,110,48,8,1,1,3,9.565,75.255,18.082,5.427,0.436,10.6,88.45,21.25,7.25,0.55
Lewis Melican,Sydney,43,30,30.15,194,Key Defender,2017,102,2,5,0,1,0,7.513,56.794,10.196,3.882,0.02,7.92,57.5,9.6,3.55,0
Liam Hetherton,Sydney,39,19,19.66,197,Key Forward,,0,,,,0,,,,,,,,,,,
Logan McDonald,Sydney,6,24,24.74,195,Key Forward,2021,71,94,6,6,1,1,6.782,56.986,9.563,3.803,1.324,5.85,58.25,10.55,3.5,1.1
Malcolm Rosas,Sydney,10,25,25.51,180,Gen. Forward,2021,50,47,0,,1,1,6.89,46.76,8.4,3.82,0.94,8.26,48.85,8.2,3.4,1.25
Matt Roberts,Sydney,34,23,23.41,184,Midfielder,2022,49,6,3,0,1,2,7.818,75.388,17.653,4.245,0.122,8.67,88.05,20.95,5.3,0.15
Max King,Sydney,31,19,19.97,192,Key Forward,,0,,,,0,,,,,,,,,,,
Ned Bowman,Sydney,23,20,20.3,187,Gen. Forward,,0,,,,0,,,,,,,,,,,
Nick Blakey,Sydney,22,26,26.84,196,Gen. Defender,2019,152,49,7,0,1,0,10.92,79.191,17.197,4.342,0.322,13.865,100.4,21.45,3.85,0.45
Noah Chamberlain,Sydney,42,19,19.78,194,Key Forward,,0,,,,0,,,,,,,,,,,
Patrick Snell,Sydney,41,21,21.45,194,Key Defender,,0,,,,0,,,,,,,,,,,
Peter Ladhams,Sydney,19,28,28.96,204,Ruck,2019,63,34,4,3,0,,8.643,71.206,13.476,7.429,0.54,7.12,57.8,12.5,6.55,0.55
Riak Andrew,Sydney,20,21,21.03,193,Key Defender,,0,,,,0,,,,,,,,,,,
Riley Bice,Sydney,26,26,26.26,186,Gen. Defender,2025,17,1,0,,1,0,7.282,63,13.941,3.588,0.059,7.282,63,13.941,3.588,0.059
Sam Wicks,Sydney,15,27,27.29,181,Gen. Defender,2020,88,44,2,0,1,0,6.03,53.25,11.136,4.125,0.5,4.975,55.1,14.2,3.45,0
Taylor Adams,Sydney,3,33,33.27,181,Gen. Forward,2012,229,86,10,6,0,,10.955,88.144,23.227,10.1,0.376,6.87,58.05,15.55,6.85,0.4
Tom Hanily,Sydney,40,21,21.58,179,Gen. Forward,2025,8,6,0,,0,,3.925,34.375,7.125,3.125,0.75,3.925,34.375,7.125,3.125,0.75
Tom McCartin,Sydney,30,27,27,194,Key Defender,2018,153,31,9,0,1,0,8.069,61.739,11.15,4.993,0.203,8.78,70.5,13.75,5.35,0.1
Tom Papley,Sydney,11,30,30.46,177,Gen. Forward,2016,197,305,15,27,1,1,10.03,74.112,14.223,6.107,1.548,9.455,69.85,14.2,5.85,1.3
William Edwards,Sydney,28,23,23.64,197,Key Defender,,0,,,,0,,,,,,,,,,,
William Green,Sydney,45,21,21.31,204,Ruck,,0,,,,0,,,,,,,,,,,
Archer Reid,West Coast,22,21,21.28,203,Key Forward,2025,14,5,0,,0,,4.829,45.071,5.643,4,0.357,4.829,45.071,5.643,4,0.357
Bailey J. Williams,West Coast,32,26,26.7,201,Ruck,2020,88,30,0,,0,,7.866,62.466,10.307,6.83,0.341,6.27,56.75,9.8,6.15,0.55
Bo Allan,West Coast,26,20,20.87,191,Gen. Defender,2025,6,0,0,,0,,3.067,31.333,7.667,1.833,0,3.067,31.333,7.667,1.833,0
Brady Hough,West Coast,19,23,23.82,191,Midfielder,2022,75,3,0,,0,,5.763,60.907,14.36,3.853,0.04,7.915,68.35,15.5,4.7,0.15
Brandon Starcevich,West Coast,4,27,27.43,188,Gen. Defender,2018,132,8,18,0,0,,6.594,57.75,11.788,4.159,0.061,6.545,54.7,11.05,3.6,0.05
Clay Hall,West Coast,29,21,21.63,190,Midfielder,2024,16,2,0,,0,,6.95,60.688,14.875,6.688,0.125,6.95,60.688,14.875,6.688,0.125
Cooper Duff-Tytler,West Coast,21,19,19.35,200,Ruck,,0,,,,0,,,,,,,,,,,
Deven Robertson,West Coast,40,25,25.5,185,Gen. Forward,2020,47,10,7,2,0,,5.415,49.277,10.34,4.66,0.213,4.345,39.95,8.35,3.8,0.15
Elijah Hewett,West Coast,8,22,22.59,186,Midfielder,2023,34,14,0,,0,,6.212,56.353,15.088,6.706,0.412,7.52,63.9,16.25,7.2,0.5
Elliot Yeo,West Coast,6,33,33.24,191,Midfielder,2012,212,85,11,3,0,,11.562,86.972,19.722,9.425,0.401,13.91,104.8,22.5,12.2,0.55
